timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
78556000,0.025105,-0.030492,-4.703568,0.023529,-0.032433,-4.696731,px4_default
78576000,0.025109,-0.030485,-4.703081,0.024073,-0.031985,-4.697728,px4_default
78596000,0.025144,-0.030433,-4.702487,0.024729,-0.031479,-4.698826,px4_default
78616000,0.025218,-0.030325,-4.701819,0.026104,-0.030432,-4.701197,px4_default
78636000,0.025371,-0.030103,-4.701213,0.027414,-0.029494,-4.703373,px4_default
78656000,0.025673,-0.029662,-4.700902,0.029925,-0.027697,-4.707430,px4_default
78676000,0.026218,-0.028868,-4.700857,0.031989,-0.026198,-4.710592,px4_default
78696000,0.026940,-0.027817,-4.700975,0.035753,-0.023436,-4.715834,px4_default
78716000,0.027926,-0.026382,-4.701294,0.038675,-0.021263,-4.719486,px4_default
78736000,0.029245,-0.024465,-4.701818,0.043867,-0.017349,-4.725208,px4_default
78756000,0.030943,-0.021998,-4.702521,0.047790,-0.014317,-4.728979,px4_default
78776000,0.033052,-0.018935,-4.703378,0.054383,-0.009142,-4.734186,px4_default
78796000,0.035585,-0.015262,-4.704363,0.059361,-0.005230,-4.737097,px4_default
78816000,0.038669,-0.010794,-4.705463,0.067375,0.001210,-4.740142,px4_default
78836000,0.042311,-0.005522,-4.706649,0.073187,0.005931,-4.741333,px4_default
78856000,0.046396,0.000384,-4.707874,0.082666,0.013740,-4.741957,px4_default
78876000,0.051131,0.007221,-4.709141,0.089455,0.019432,-4.741827,px4_default
78896000,0.056760,0.015333,-4.710382,0.100471,0.028879,-4.740974,px4_default
78916000,0.063068,0.024411,-4.711574,0.108380,0.035754,-4.740136,px4_default
78936000,0.069945,0.034296,-4.712694,0.121280,0.047218,-4.738325,px4_default
78956000,0.077397,0.044994,-4.713721,0.130525,0.055579,-4.736955,px4_default
78976000,0.086109,0.057473,-4.714067,0.145436,0.069218,-4.734749,px4_default
78996000,0.095416,0.070801,-4.713890,0.156201,0.079265,-4.733187,px4_default
79016000,0.105284,0.084933,-4.713257,0.173431,0.095516,-4.730917,px4_default
79036000,0.115804,0.100010,-4.712183,0.185736,0.107260,-4.729444,px4_default
79056000,0.127207,0.116369,-4.710627,0.205464,0.126331,-4.727346,px4_default
79076000,0.139659,0.134258,-4.708779,0.219432,0.139858,-4.726029,px4_default
79096000,0.152721,0.153026,-4.706785,0.241817,0.161909,-4.724158,px4_default
79116000,0.166523,0.172853,-4.704634,0.257642,0.177531,-4.723011,px4_default
79136000,0.181159,0.193862,-4.702327,0.282771,0.202342,-4.721405,px4_default
79156000,0.196694,0.216121,-4.699876,0.300445,0.219819,-4.720391,px4_default
79176000,0.213016,0.239454,-4.697318,0.328356,0.247439,-4.718933,px4_default
79196000,0.230014,0.263698,-4.694676,0.347965,0.267116,-4.718000,px4_default
79216000,0.247885,0.289089,-4.691949,0.378741,0.297896,-4.716562,px4_default
79236000,0.266602,0.315572,-4.689151,0.400190,0.319491,-4.715580,px4_default
79256000,0.285901,0.342788,-4.686316,0.433707,0.353524,-4.714016,px4_default
79276000,0.305961,0.370952,-4.683439,0.456922,0.377082,-4.712872,px4_default
79296000,0.327021,0.400312,-4.680535,0.493036,0.414504,-4.710959,px4_default
79316000,0.348807,0.430520,-4.677626,0.517931,0.440483,-4.709542,px4_default
79336000,0.371167,0.461376,-4.674720,0.556445,0.481016,-4.707181,px4_default
79356000,0.394089,0.492865,-4.671821,0.582831,0.509448,-4.705439,px4_default
79376000,0.418163,0.525595,-4.668964,0.623431,0.553500,-4.702600,px4_default
79396000,0.442902,0.558998,-4.666151,0.651106,0.584041,-4.700560,px4_default
79416000,0.468221,0.592978,-4.663380,0.693491,0.631281,-4.697326,px4_default
79436000,0.494144,0.627541,-4.660661,0.722242,0.663954,-4.695075,px4_default
79456000,0.520819,0.662816,-4.658014,0.766001,0.714666,-4.691585,px4_default
79476000,0.548468,0.698937,-4.655489,0.795608,0.749411,-4.689208,px4_default
79496000,0.576635,0.735486,-4.653037,0.840471,0.803378,-4.685611,px4_default
79516000,0.605387,0.772506,-4.650672,0.870709,0.840281,-4.683243,px4_default
79536000,0.634819,0.810044,-4.648417,0.916484,0.896979,-4.679752,px4_default
79556000,0.665065,0.848162,-4.646308,0.947177,0.935808,-4.677449,px4_default
79576000,0.695963,0.886699,-4.644331,0.993535,0.995099,-4.673990,px4_default
79596000,0.727367,0.925553,-4.642459,1.024576,1.035403,-4.671722,px4_default
79616000,0.759508,0.964817,-4.640759,1.071292,1.096848,-4.668429,px4_default
79636000,0.792386,1.004460,-4.639238,1.102573,1.138340,-4.666335,px4_default
79656000,0.825741,1.044314,-4.637844,1.149516,1.201446,-4.663466,px4_default
79676000,0.859715,1.084431,-4.636615,1.180972,1.243843,-4.661773,px4_default
79696000,0.894443,1.124805,-4.635604,1.228121,1.307956,-4.659688,px4_default
79716000,0.929765,1.165347,-4.634737,1.259623,1.350899,-4.658612,px4_default
79736000,0.965566,1.205996,-4.633965,1.306936,1.415511,-4.657467,px4_default
79756000,1.001803,1.246728,-4.633274,1.338480,1.458591,-4.657072,px4_default
79776000,1.038850,1.287543,-4.632691,1.385968,1.523101,-4.656949,px4_default
79796000,1.076458,1.328333,-4.632210,1.417667,1.565950,-4.657215,px4_default
79816000,1.114532,1.369080,-4.631829,1.465361,1.629817,-4.658147,px4_default
79836000,1.153055,1.409757,-4.631561,1.497305,1.672104,-4.659048,px4_default
79856000,1.192118,1.450324,-4.631444,1.545378,1.734749,-4.660932,px4_default
79876000,1.231997,1.490618,-4.631618,1.577575,1.776027,-4.662455,px4_default
79896000,1.272278,1.530741,-4.631936,1.626127,1.837107,-4.665090,px4_default
79916000,1.312984,1.570671,-4.632407,1.658589,1.877021,-4.667128,px4_default
79936000,1.354187,1.610328,-4.633061,1.707639,1.936080,-4.670393,px4_default
79956000,1.396036,1.649549,-4.633961,1.740395,1.974463,-4.672865,px4_default
79976000,1.438357,1.688385,-4.635041,1.789831,2.030854,-4.676824,px4_default
79996000,1.481035,1.726920,-4.636256,1.822941,2.067468,-4.679638,px4_default
80016000,1.524228,1.764962,-4.637665,1.872820,2.120865,-4.684069,px4_default
80036000,1.567941,1.802454,-4.639272,1.906286,2.155557,-4.687134,px4_default
80056000,1.612006,1.839494,-4.641015,1.956601,2.205679,-4.691937,px4_default
80076000,1.656481,1.875982,-4.642917,1.990337,2.238022,-4.695236,px4_default
80096000,1.701424,1.911771,-4.644996,2.041233,2.284885,-4.700302,px4_default
80116000,1.746771,1.946900,-4.647224,2.075310,2.314735,-4.703763,px4_default
80136000,1.792460,1.981424,-4.649576,2.126742,2.357900,-4.708982,px4_default
80156000,1.838431,2.015407,-4.652029,2.161193,2.385411,-4.712486,px4_default
