timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
51703400,0.000000,0.000000,-4.971000,0.000000,0.000000,-4.967000,px4_default
51703413,0.000000,0.000000,-4.971000,0.000000,0.000000,-4.967000,px4_default
51723411,0.000004,0.000006,-4.970514,0.000000,0.000000,-4.968000,px4_default
51743411,0.000039,0.000058,-4.969919,0.000000,0.000000,-4.969000,px4_default
51763411,0.000113,0.000166,-4.969252,0.000000,0.000000,-4.970000,px4_default
51783410,0.000266,0.000388,-4.968646,0.000000,0.000000,-4.971000,px4_default
51823397,0.000568,0.000829,-4.968334,0.000000,0.007526,-4.975000,px4_default
51823410,0.001113,0.001624,-4.968290,0.000000,0.007526,-4.975000,px4_default
51843412,0.001835,0.002674,-4.968408,0.000000,0.007526,-4.976000,px4_default
51863411,0.002821,0.004109,-4.968727,0.011119,0.007526,-4.979000,px4_default
51883410,0.004140,0.006026,-4.969251,0.011119,0.007526,-4.982000,px4_default
51903412,0.005838,0.008493,-4.969954,0.011119,0.015053,-4.983000,px4_default
51923411,0.007947,0.011556,-4.970810,0.011119,0.015053,-4.986000,px4_default
51943412,0.010480,0.015229,-4.971796,0.022238,0.022580,-4.988000,px4_default
51963410,0.013564,0.019697,-4.972896,0.022238,0.022580,-4.989000,px4_default
51983411,0.017206,0.024969,-4.974082,0.022238,0.030107,-4.990000,px4_default
52023411,0.026026,0.037712,-4.976574,0.033358,0.037634,-4.991000,px4_default
52043412,0.031655,0.045824,-4.977815,0.033358,0.045161,-4.990000,px4_default
52063411,0.037963,0.054902,-4.979006,0.044477,0.060214,-4.990000,px4_default
52083410,0.044840,0.064787,-4.980126,0.044477,0.060214,-4.990000,px4_default
52103412,0.052292,0.075485,-4.981153,0.055597,0.075268,-4.989000,px4_default
52123413,0.061004,0.087965,-4.981499,0.066716,0.082795,-4.988000,px4_default
52143410,0.070311,0.101292,-4.981323,0.077836,0.090322,-4.987000,px4_default
52163411,0.080179,0.115425,-4.980690,0.088955,0.105375,-4.985000,px4_default
52183411,0.090699,0.130501,-4.979615,0.100075,0.127956,-4.983000,px4_default
52203412,0.102102,0.146861,-4.978060,0.111194,0.135483,-4.982000,px4_default
52223412,0.114554,0.164749,-4.976212,0.122314,0.158063,-4.980000,px4_default
52243411,0.127616,0.183517,-4.974218,0.133433,0.180644,-4.978000,px4_default
52263411,0.141418,0.203344,-4.972067,0.144553,0.188171,-4.976000,px4_default
52283411,0.156054,0.224353,-4.969760,0.166792,0.210751,-4.974000,px4_default
52303414,0.171589,0.246613,-4.967309,0.177911,0.240858,-4.970000,px4_default
52323410,0.187911,0.269945,-4.964751,0.189031,0.255912,-4.969000,px4_default
52343411,0.204909,0.294190,-4.962109,0.211270,0.278493,-4.965000,px4_default
52363411,0.222780,0.319581,-4.959382,0.233509,0.308600,-4.962000,px4_default
