timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
50703390,0.000000,0.000000,-4.970000,0.000000,0.000000,-4.970000,px4_default
50723390,0.000004,0.000006,-4.969514,0.000000,0.000000,-4.970000,px4_default
50723404,0.000004,0.000006,-4.969514,0.000000,0.000000,-4.970000,px4_default
50763389,0.000113,0.000166,-4.968252,0.000000,0.000000,-4.973000,px4_default
50763403,0.000113,0.000166,-4.968252,0.000000,0.000000,-4.973000,px4_default
50803391,0.000568,0.000829,-4.967334,0.000000,0.000000,-4.974000,px4_default
50803408,0.000568,0.000829,-4.967334,0.000000,0.000000,-4.974000,px4_default
50823404,0.001113,0.001624,-4.967290,0.000000,0.007526,-4.978000,px4_default
50843403,0.001835,0.002674,-4.967408,0.011119,0.007526,-4.980000,px4_default
50863404,0.002821,0.004109,-4.967727,0.011119,0.007526,-4.982000,px4_default
50883430,0.004140,0.006026,-4.968251,0.011119,0.007526,-4.985000,px4_default
50903423,0.005838,0.008493,-4.968954,0.011119,0.015053,-4.987000,px4_default
50923433,0.007947,0.011556,-4.969810,0.011119,0.015053,-4.989000,px4_default
50943404,0.010480,0.015229,-4.970796,0.022238,0.022580,-4.991000,px4_default
50963405,0.013564,0.019697,-4.971896,0.022238,0.030107,-4.993000,px4_default
50983417,0.017206,0.024969,-4.973082,0.022238,0.030107,-4.993000,px4_default
51003431,0.021291,0.030875,-4.974307,0.033358,0.037634,-4.993000,px4_default
51023440,0.026026,0.037712,-4.975574,0.033358,0.045161,-4.993000,px4_default
51043404,0.031655,0.045824,-4.976815,0.044477,0.045161,-4.993000,px4_default
51063418,0.037963,0.054902,-4.978006,0.044477,0.060214,-4.992000,px4_default
51103390,0.052292,0.075485,-4.980154,0.055597,0.075268,-4.991000,px4_default
51123440,0.061004,0.087965,-4.980499,0.066716,0.090322,-4.990000,px4_default
51123454,0.070311,0.101292,-4.980323,0.066716,0.090322,-4.990000,px4_default
51143404,0.070311,0.101292,-4.980323,0.077836,0.105375,-4.988000,px4_default
51163403,0.080179,0.115425,-4.979690,0.088955,0.112902,-4.987000,px4_default
51203391,0.102102,0.146861,-4.977060,0.111194,0.150536,-4.983000,px4_default
51223422,0.114554,0.164749,-4.975212,0.122314,0.158063,-4.982000,px4_default
51243390,0.127616,0.183517,-4.973218,0.133433,0.180644,-4.979000,px4_default
51243403,0.127616,0.183517,-4.973218,0.133433,0.180644,-4.979000,px4_default
51263441,0.156054,0.224353,-4.968760,0.155672,0.203224,-4.977000,px4_default
51283421,0.156054,0.224353,-4.968760,0.166792,0.218278,-4.975000,px4_default
51303404,0.171589,0.246613,-4.966309,0.189031,0.240858,-4.972000,px4_default
51323452,0.204909,0.294190,-4.961109,0.200150,0.270966,-4.969000,px4_default
51343413,0.204909,0.294190,-4.961109,0.211270,0.278493,-4.967000,px4_default
51363400,0.222780,0.319581,-4.958382,0.233509,0.308600,-4.963000,px4_default
51383408,0.241497,0.346064,-4.955584,0.266867,0.346234,-4.960000,px4_default
51403420,0.260796,0.373279,-4.952749,0.277987,0.361288,-4.958000,px4_default
51443439,0.301916,0.430804,-4.946968,0.322465,0.429029,-4.950000,px4_default
51483390,0.346062,0.491868,-4.941153,0.366943,0.489244,-4.944000,px4_default
51503436,0.368984,0.523357,-4.938254,0.400301,0.526878,-4.940000,px4_default
51543391,0.417797,0.589489,-4.932583,0.444779,0.587093,-4.935000,px4_default
51563428,0.469039,0.658033,-4.927094,0.478138,0.632254,-4.931000,px4_default
51583420,0.469039,0.658033,-4.927094,0.500377,0.654835,-4.929000,px4_default
51623411,0.523363,0.729428,-4.921922,0.567094,0.745157,-4.922000,px4_default
51663395,0.580282,0.802997,-4.917105,0.633811,0.820425,-4.917000,px4_default
51683414,0.609714,0.840535,-4.914850,0.667169,0.873113,-4.914000,px4_default
51723391,0.670858,0.917191,-4.910763,0.733886,0.948381,-4.910000,px4_default
51743418,0.702262,0.956045,-4.908892,0.778364,1.001070,-4.907000,px4_default
51783420,0.767281,1.034952,-4.905671,0.845081,1.076338,-4.904000,px4_default
51783434,0.800636,1.074806,-4.904277,0.845081,1.076338,-4.904000,px4_default
51803403,0.800636,1.074806,-4.904277,0.889559,1.129026,-4.902000,px4_default
51843392,0.869338,1.155297,-4.902037,0.956276,1.211821,-4.899000,px4_default
51863426,0.904660,1.195839,-4.901170,1.011874,1.272036,-4.898000,px4_default
51903392,0.976698,1.277219,-4.899707,1.089710,1.354831,-4.897000,px4_default
51923390,1.013746,1.318034,-4.899124,1.145308,1.407519,-4.896000,px4_default
51923403,1.013746,1.318034,-4.899124,1.145308,1.407519,-4.896000,px4_default
51963391,1.089427,1.399572,-4.898262,1.223144,1.497841,-4.896000,px4_default
51963405,1.089427,1.399572,-4.898262,1.223144,1.497841,-4.896000,px4_default
51983440,1.167014,1.480816,-4.897877,1.278742,1.550529,-4.897000,px4_default
52003422,1.167014,1.480816,-4.897877,1.300981,1.580636,-4.897000,px4_default
52023405,1.206892,1.521110,-4.898050,1.356578,1.633324,-4.899000,px4_default
52043404,1.247174,1.561232,-4.898368,1.412176,1.693539,-4.900000,px4_default
52063437,1.329083,1.640820,-4.899494,1.445534,1.716119,-4.901000,px4_default
52083404,1.329083,1.640820,-4.899494,1.501132,1.776334,-4.903000,px4_default
52103403,1.370931,1.680041,-4.900394,1.556729,1.829022,-4.906000,px4_default
52123405,1.413252,1.718877,-4.901474,1.590088,1.851602,-4.907000,px4_default
52143406,1.455930,1.757412,-4.902689,1.645685,1.911817,-4.910000,px4_default
52163415,1.499123,1.795454,-4.904098,1.712402,1.964505,-4.914000,px4_default
52203431,1.631377,1.906473,-4.909350,1.801358,2.039773,-4.919000,px4_default
52223437,1.631377,1.906473,-4.909350,1.868075,2.092461,-4.923000,px4_default
