timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
67596000,0.002333,-0.001440,-4.702143,-0.008686,-0.009487,-4.699536,px4_default
67616000,0.002338,-0.001433,-4.701657,-0.011347,-0.011430,-4.700829,px4_default
67636000,0.002373,-0.001382,-4.701062,-0.013300,-0.012754,-4.702162,px4_default
67656000,0.002447,-0.001273,-4.700395,-0.015443,-0.014165,-4.704245,px4_default
67676000,0.002600,-0.001051,-4.699789,-0.017329,-0.015499,-4.706932,px4_default
67696000,0.002902,-0.000610,-4.699477,-0.018346,-0.016335,-4.710126,px4_default
67716000,0.003447,0.000184,-4.699433,-0.018816,-0.016992,-4.714006,px4_default
67736000,0.004168,0.001234,-4.699551,-0.018463,-0.017317,-4.718511,px4_default
67756000,0.005155,0.002670,-4.699870,-0.017095,-0.017228,-4.723422,px4_default
67776000,0.006474,0.004587,-4.700394,-0.015147,-0.016980,-4.728650,px4_default
67796000,0.008172,0.007054,-4.701097,-0.011909,-0.016181,-4.733840,px4_default
67816000,0.010281,0.010117,-4.701953,-0.009049,-0.015486,-4.737988,px4_default
67836000,0.012814,0.013790,-4.702939,-0.004295,-0.014128,-4.742712,px4_default
67856000,0.015897,0.018258,-4.704039,0.001358,-0.012205,-4.746567,px4_default
67876000,0.019540,0.023529,-4.705225,0.007612,-0.009945,-4.749253,px4_default
67896000,0.023625,0.029436,-4.706450,0.014957,-0.007110,-4.750591,px4_default
67916000,0.028359,0.036272,-4.707717,0.022542,-0.003986,-4.750931,px4_default
67936000,0.033989,0.044385,-4.708958,0.030657,-0.000477,-4.750413,px4_default
67956000,0.040297,0.053463,-4.710149,0.039332,0.003504,-4.749403,px4_default
67976000,0.047174,0.063347,-4.711269,0.048161,0.008101,-4.748257,px4_default
67996000,0.054625,0.074046,-4.712296,0.057818,0.013688,-4.746959,px4_default
68016000,0.063338,0.086525,-4.712642,0.068051,0.020599,-4.745579,px4_default
68036000,0.072645,0.099853,-4.712466,0.078849,0.028765,-4.744224,px4_default
68056000,0.082512,0.113985,-4.711833,0.090532,0.038464,-4.742789,px4_default
68076000,0.093033,0.129061,-4.710758,0.102733,0.049805,-4.741345,px4_default
68096000,0.104435,0.145421,-4.709203,0.115829,0.062814,-4.739808,px4_default
68116000,0.116888,0.163310,-4.707355,0.129842,0.077706,-4.738063,px4_default
68136000,0.129950,0.182077,-4.705361,0.144474,0.094375,-4.736198,px4_default
